feature,importance_%
numeric__channel_PO4_cf_5,0
numeric__channel_PO4_pw_5,0
numeric__channel_PO4_bw_5,0
numeric__channel_PO8_pw_0,0
numeric__channel_PO8_bw_0,0
numeric__channel_PO8_cf_1,0
numeric__channel_PO8_pw_1,0
numeric__channel_PO8_bw_1,0
numeric__channel_PO8_cf_2,0
numeric__channel_PO8_pw_2,0
numeric__channel_PO8_cf_3,0
numeric__channel_P6_pw_3,0
numeric__channel_PO8_pw_3,0
numeric__channel_PO8_bw_3,0
numeric__channel_PO8_pw_4,0
numeric__channel_PO8_bw_4,0
numeric__channel_PO8_cf_5,0
numeric__channel_PO8_pw_5,0
numeric__channel_PO8_bw_5,0
numeric__channel_P6_bw_0,0
numeric__channel_P6_cf_1,0
numeric__channel_P6_pw_1,0
numeric__channel_P6_bw_1,0
numeric__channel_P6_cf_2,0
numeric__channel_P6_bw_2,0
numeric__channel_P6_cf_3,0
numeric__channel_CPz_bw_3,0
numeric__channel_CPz_pw_4,0
numeric__channel_C2_bw_4,0
numeric__channel_C6_pw_5,0
numeric__channel_TP8_bw_5,0
numeric__channel_C6_cf_0,0
numeric__channel_C6_pw_0,0
numeric__channel_C6_pw_1,0
numeric__channel_C6_bw_1,0
numeric__channel_C6_cf_2,0
numeric__channel_C6_pw_2,0
numeric__channel_C6_cf_3,0
numeric__channel_C6_pw_3,0
numeric__channel_C6_bw_3,0
numeric__channel_C6_cf_4,0
numeric__channel_C6_pw_4,0
numeric__channel_C6_bw_4,0
numeric__channel_C6_cf_5,0
numeric__channel_C6_bw_5,0
numeric__channel_TP8_cf_5,0
numeric__channel_C2_cf_0,0
numeric__channel_C2_pw_0,0
numeric__channel_C2_bw_0,0
numeric__channel_C2_cf_1,0
numeric__channel_C2_pw_1,0
numeric__channel_C2_bw_1,0
numeric__channel_C2_cf_2,0
numeric__channel_C2_pw_2,0
numeric__channel_C2_bw_2,0
numeric__channel_C2_cf_3,0
numeric__channel_C2_pw_3,0
numeric__channel_C2_bw_3,0
numeric__channel_C2_cf_4,0
numeric__channel_C2_pw_4,0
numeric__channel_TP8_pw_5,0
numeric__channel_TP8_bw_4,0
numeric__channel_CPz_bw_4,0
numeric__channel_CP4_bw_4,0
numeric__channel_CPz_cf_5,0
numeric__channel_CPz_pw_5,0
